Gender,Age,Age_Bracket,Country,Any_full_sized_candy_bar,Butterfinger,Candy_Corn,Chiclets,Dots,Fuzzy_Peaches,Good_N_Plenty,Gummy_Bears,Healthy_Fruit,Heath_Bar,Hersheys_Dark_Chocolate,Hersheys_Milk_Chocolate,Hersheys_Kisses,Jolly_Rancher_bad_flavor,Jolly_Ranchers_good_flavor,Junior_Mints,Kit_Kat,LaffyTaffy,LemonHeads,Licorice_not_black,Licorice_black,Lollipops,Mike_and_Ike,Milk_Duds,Milky_Way,Regular_M_Ms,Peanut_M_Ms,Mint_Kisses,Mr_Goodbar,Nerds,Nestle_Crunch,Peeps,Pixy_Stix,Reeses_Peanut_Butter_Cups,Reeses_Pieces,Rolos,Skittles,Snickers,Sourpatch_Kids,Starburst,Swedish_Fish,Tic_Tacs,Three_Musketeers,Toblerone,Trail_Mix,Twix,Whatchamacallit_Bars,York_Peppermint_Patties
Male,9,0-17,Canada,1,1,1,0,1,1,0,1,-1,1,1,1,0,-1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,-1,1,1,1,1,1,1,1,1,1,0,1,1,-1,1,1,1
Male,9,0-17,United States,1,1,1,1,-1,1,1,1,1,0,0,1,1,-1,-1,0,1,0,0,1,1,0,1,1,1,1,1,-1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,-1
Female,11,0-17,United States,0,0,1,0,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,1,-1,1,0,1,1,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,1,-1,1,-1,1,1,1,1,-1,1,1,1
Male,11,0-17,United States,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,-1,1,1,0,1,1,-1
Female,12,0-17,United States,0,0,1,0,1,0,0,0,-1,0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,0,0,1,1,1,1,-1,-1,0,1,-1,1,1,1,1,1,0,0,1,1,1
Female,12,0-17,United States,1,1,1,0,1,0,-1,-1,0,1,1,1,1,1,1,1,1,1,1,0,-1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1
Female,12,0-17,United States,1,1,0,0,1,0,1,1,-1,1,1,1,1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1
Male,12,0-17,United States,1,1,1,0,1,-1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Male,14,0-17,Other,1,0,0,0,0,0,-1,1,1,1,1,0,0,-1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,-1,1,1,1
Female,15,0-17,United States,1,1,0,1,0,0,-1,1,0,1,-1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,0,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Male,15,0-17,United States,1,1,-1,0,-1,0,-1,0,-1,1,0,-1,-1,-1,1,0,1,0,0,0,-1,0,-1,1,1,-1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,-1,1,1,0
Female,10,0-17,Canada,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0
Female,11,0-17,United States,1,1,1,0,1,0,-1,1,0,1,1,1,1,-1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,-1,1,1,1,0,1,0,1
Female,12,0-17,United States,1,1,0,1,1,0,-1,1,1,1,1,1,1,-1,1,-1,1,0,1,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,0,-1
Male,13,0-17,United States,1,1,-1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1
Unknown,14,0-17,United States,1,1,-1,-1,0,-1,-1,-1,-1,1,1,1,1,0,1,1,1,0,0,0,-1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,-1,1,-1,1,0,1
Male,16,0-17,United States,1,1,1,-1,-1,1,-1,1,0,0,0,1,0,-1,1,-1,1,0,1,0,-1,0,1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,1,1,1,1,0,1,1,0,-1,1,0,-1
Female,6,0-17,United States,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,1,1,1,-1,-1,1,1,0,0,1,1,1,-1,1,0,-1,-1,1,1,1,0,1,-1,1
Male,8,0-17,United States,1,1,1,1,1,0,-1,0,0,1,0,1,1,-1,1,0,1,1,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,-1,0
Unknown,10,0-17,United States,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,0,1,-1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,0,1,-1,0,-1,1
Female,11,0-17,United States,1,1,0,-1,0,0,0,1,-1,0,0,1,1,0,1,0,1,1,0,-1,-1,1,0,-1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1
Female,12,0-17,United States,1,1,0,1,0,0,-1,0,0,-1,1,1,1,-1,-1,1,1,-1,-1,0,-1,1,0,-1,1,1,1,1,0,0,0,0,-1,1,1,1,0,1,-1,0,0,1,1,1,-1,1,-1,1
Female,12,0-17,United States,1,0,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,0,1,-1,-1,1,1,-1,1,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,-1,1,-1,1,1,-1,1,1,-1,1,-1,1
Male,13,0-17,United States,1,0,-1,-1,0,-1,-1,0,-1,1,1,-1,0,-1,0,0,0,-1,1,-1,-1,1,1,1,0,0,1,0,0,1,1,-1,0,1,1,0,-1,0,1,-1,-1,-1,0,1,-1,1,-1,1
Female,15,0-17,United States,1,0,1,-1,-1,-1,-1,0,1,1,1,1,1,-1,0,0,1,0,-1,-1,-1,1,0,0,0,0,0,1,1,0,1,-1,-1,0,0,0,0,0,0,0,1,0,0,-1,0,1,-1,-1
Male,15,0-17,United States,1,1,-1,0,1,-1,0,0,-1,1,1,1,1,0,1,0,1,1,1,1,-1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,-1,1
Female,18,18-29,Canada,1,1,-1,1,0,1,0,0,1,0,1,1,0,-1,-1,-1,1,-1,0,0,-1,0,0,0,0,1,1,-1,0,0,1,1,0,1,1,-1,0,0,-1,0,-1,0,0,0,0,1,-1,-1
Female,18,18-29,United States,1,1,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,1,-1,1,1,0,-1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,1,1,0,-1,0,-1,-1,0,1,-1,-1
